county,GEOID,year,renting_hh,filings_observed,ind_filings_court_issued_lt,hh_threat_observed,filing_rate,threat_rate,NAME,asian_hhs,asian_owner,asian_renter,black_hhs,black_owner,black_renter,latino_hhs,latino_owner,latino_renter,med_hh_inc,med_hh_inc_own,med_hh_inc_rent,nhw_hhs,nhw_owner,nhw_renter,owner_hhs,renter_hhs,total_hhs,total_pop,u_own,u_rent,cb_owner,p_cb_owner,cb_renter,p_cb_renter,prent,pown,prent_blk,prent_his,prent_nhw,prent_asian
Alpine County,06003,2012,138,6,0,,4.3478260869565215,,"Alpine County, California",5,5,0,0,0,0,6,2,4,59931,73750,33333,307,260,47,311,74,385,1197,311,74,104,0.33440514469453375,36,0.5625,0.19220779220779222,0.8077922077922078,,0.6666666666666666,0.15309446254071662,0
Alpine County,06003,2013,137,18,0,,13.138686131386862,,"Alpine County, California",7,7,0,0,0,0,7,4,3,58636,61688,26528,329,270,59,321,73,394,1165,321,73,108,0.3364485981308411,43,0.6142857142857143,0.18527918781725888,0.8147208121827412,,0.42857142857142855,0.17933130699088146,0
Alpine County,06003,2014,135,18,0,,13.333333333333334,,"Alpine County, California",6,6,0,0,0,0,5,3,2,61343,65417,38750,315,261,54,308,69,377,1202,308,69,129,0.41883116883116883,34,0.5666666666666667,0.1830238726790451,0.8169761273209549,,0.4,0.17142857142857143,0
Alpine County,06003,2015,134,1,0,,0.7462686567164178,,"Alpine County, California",2,2,0,0,0,0,13,12,1,52917,59167,41250,282,217,65,282,76,358,1131,282,76,116,0.41134751773049644,36,0.5714285714285714,0.2122905027932961,0.7877094972067039,,0.07692307692307693,0.23049645390070922,0
Alpine County,06003,2016,133,6,0,,4.511278195488721,,"Alpine County, California",4,4,0,0,0,0,9,8,1,62375,63854,43958,277,227,50,280,63,343,1184,280,63,116,0.4142857142857143,25,0.45454545454545453,0.1836734693877551,0.8163265306122449,,0.1111111111111111,0.18050541516245489,0
Alpine County,06003,2017,132,1,0,,0.7575757575757576,,"Alpine County, California",3,3,0,0,0,0,11,7,4,63438,65972,45250,245,209,36,253,51,304,1203,253,51,114,0.4505928853754941,18,0.391304347826087,0.16776315789473684,0.8322368421052632,,0.36363636363636365,0.1469387755102041,0
Amador County,06005,2010,3686,112,0,,3.038524145415084,,"Amador County, California",152,63,89,26,26,0,745,550,195,54758,61059,40911,13336,10418,2918,11372,3343,14715,38327,11372,3343,4424,0.3890256771016532,1769,0.5471698113207547,0.22718314644920148,0.7728168535507985,0,0.26174496644295303,0.21880623875224955,0.5855263157894737
Amador County,06005,2011,3750,118,0,,3.1466666666666665,,"Amador County, California",146,58,88,29,29,0,852,682,170,56180,63862,40758,12871,10129,2742,11213,3070,14283,38244,11213,3070,4427,0.3948095960046375,1520,0.520904729266621,0.2149408387593643,0.7850591612406357,0,0.19953051643192488,0.2130370600574936,0.6027397260273972
Amador County,06005,2012,3814,122,0,,3.198741478762454,,"Amador County, California",111,60,51,41,27,14,789,585,204,53462,59337,37881,12905,9834,3071,10789,3447,14236,37764,10789,3447,4259,0.39475391602558163,1801,0.5550077041602466,0.2421326215228997,0.7578673784771003,0.34146341463414637,0.2585551330798479,0.23796977915536613,0.4594594594594595
Amador County,06005,2013,3878,98,0,,2.527075812274368,,"Amador County, California",95,71,24,36,19,17,889,633,256,53684,61198,33470,12792,9840,2952,10859,3403,14262,37422,10859,3403,4073,0.3750805783221291,1871,0.5863365716076465,0.23860608610293085,0.7613939138970691,0.4722222222222222,0.2879640044994376,0.23076923076923078,0.25263157894736843
Amador County,06005,2014,3941,108,0,,2.7404212128901295,,"Amador County, California",85,72,13,32,14,18,929,675,254,52964,62526,30652,12496,9529,2967,10546,3393,13939,37159,10546,3393,3704,0.3512232125924521,1986,0.6241357636706474,0.24341774876246502,0.756582251237535,0.5625,0.27341227125941875,0.2374359795134443,0.15294117647058825
