state,county,fips_state,fips_county,year,renting_hh,filings_observed,ind_filings_court_issued_lt,hh_threat_observed
California,Inyo County,6,6027,2012,2980,36,0,NA
California,Inyo County,6,6027,2013,3006,30,0,NA
California,Inyo County,6,6027,2014,3032,33,0,NA
California,Inyo County,6,6027,2015,3058,47,0,NA
California,Inyo County,6,6027,2016,3084,27,0,NA
California,Inyo County,6,6027,2017,3110,30,0,NA
California,Kern County,6,6029,2010,101782,5813,0,5711
California,Kern County,6,6029,2011,103446,5911,0,5816
California,Kern County,6,6029,2012,105111,5570,0,5488
California,Kern County,6,6029,2013,106775,5098,0,5025
California,Kern County,6,6029,2014,108439,4793,0,4722
California,Kern County,6,6029,2015,110104,4703,0,NA
California,Kern County,6,6029,2016,111768,4492,0,NA
California,Kern County,6,6029,2017,113432,4486,0,NA
California,Kings County,6,6031,2010,18904,628,0,NA
California,Kings County,6,6031,2011,19096,644,0,NA
California,Kings County,6,6031,2012,19288,600,0,NA
California,Kings County,6,6031,2013,19481,597,0,NA
California,Kings County,6,6031,2014,19673,515,0,NA
California,Kings County,6,6031,2015,19865,515,0,NA
California,Kings County,6,6031,2016,20057,508,0,NA
California,Kings County,6,6031,2017,20249,534,0,NA
California,Lake County,6,6033,2010,9076,440,0,428
California,Lake County,6,6033,2011,9182,404,0,398
California,Lake County,6,6033,2012,9289,406,0,395
California,Lake County,6,6033,2013,9395,426,0,418
California,Lake County,6,6033,2014,9501,404,0,391
California,Lake County,6,6033,2015,9608,415,0,NA
California,Lake County,6,6033,2016,9714,442,0,NA
California,Lake County,6,6033,2017,9820,419,0,NA
California,Lassen County,6,6035,2010,3468,116,0,114
California,Lassen County,6,6035,2011,3491,124,0,123
California,Lassen County,6,6035,2012,3514,143,0,143
California,Lassen County,6,6035,2013,3538,126,0,119
California,Lassen County,6,6035,2014,3561,104,0,100
California,Lassen County,6,6035,2015,3584,100,0,98
California,Lassen County,6,6035,2016,3607,89,0,88
California,Lassen County,6,6035,2017,3630,112,0,NA
California,Los Angeles County,6,6037,2002,1646508,61973,0,59272
California,Los Angeles County,6,6037,2004,1658995,57074,0,NA
California,Los Angeles County,6,6037,2005,1665238,53942,0,NA
