county_name,entity_id,year,revenues_govfunds,revenues_propfunds,total_revenues,vehicle_fines,other_court_fines,forfeitures,delinquent_taxes,total_fines,state_intergov,fed_intergov,ownsource_rev,fines_share,vehicle_fines_share,GEOID,NAME,total_pop,his,nha,nhaian,nhb,nhmixed,nhnh,nhsor,nhw,pnhw,pnhb,phis,papi
Butte,4,2018,404566454,18728359,423294813,277594,2897803,944892,2360343,6480632,178926866,101738890,123900698,0.052305048354126304,0.0022404554976760502,06007,"Butte County, California",227075,36358,9900,1738,3303,10639,341,406,164390,0.7239458328746009,0.014545854893757568,0.16011449961466476,0.045099636683915006
Butte,4,2017,386866841,18313275,405180116,311854,2486983,1104011,2990274,6893122,172366120,100047280,114453441,0.06022642866630808,0.002724723671698084,06007,"Butte County, California",225207,35445,9852,1639,3282,10077,359,369,164184,0.7290359535893645,0.014573259268139977,0.15738853588032345,0.04534050895398456
Calaveras,5,2021,127556992,471497,128028489,189050,272703,72151,1326872,1860776,36632982,28158947,62765063,0.029646684175239336,0.0030120259737491223,06009,"Calaveras County, California",45349,5928,1020,284,439,1717,18,18,35925,0.7921894639352577,0.009680478070078723,0.13071953075040244,0.022889148603056297
Calaveras,5,2020,115061118,491328,115552446,174854,210689,165756,1285169,1836468,38794543,14822682,61443893,0.029888535871254122,0.002845750675335627,06009,"Calaveras County, California",45828,5710,864,271,450,1691,18,44,36780,0.8025661167844985,0.009819324430479183,0.12459631666230252,0.0192458758837392
Calaveras,5,2019,103949216,1989926,105939142,167979,194630,899733,1215043,2477416,37125106,13400005,53424105,0.046372625240984386,0.0031442548265431867,06009,"Calaveras County, California",45514,5489,684,184,315,1931,19,55,36837,0.809355363184954,0.006920947400799754,0.12060025486663445,0.015445796897657864
Calaveras,5,2018,108762561,3012916,111775477,210600,262427,2652,1146790,1796060,34416425,18879817,55466319,0.03238109238869809,0.0037968987990711985,06009,"Calaveras County, California",45235,5297,568,374,299,1614,126,52,36905,0.8158505581960871,0.006609925942301315,0.11709959102464905,0.015342102354371615
Calaveras,5,2017,100186708,3660308,103847016,272570,184673,27915,1389647,2152457,31459511,15681836,53045361,0.040577667102689716,0.005138432369232062,06009,"Calaveras County, California",45057,5166,527,391,258,1519,208,56,36932,0.8196728588232683,0.005726080298288834,0.11465477062387643,0.01631267061721819
Colusa,6,2021,72281113,5344547,77625660,31485,676359,127251,383315,1218410,37599584,7691128,26990401,0.04514234523599705,0.0011665258326469473,06011,"Colusa County, California",21780,13177,144,140,293,579,31,18,7398,0.3396694214876033,0.013452708907254363,0.6050045913682277,0.008034894398530763
Colusa,6,2020,64270629,5514443,69785072,49966,721872,109373,381270,1262481,32855997,4345633,27068999,0.04663936778748265,0.0018458754237642848,06011,"Colusa County, California",21491,12840,160,149,263,512,32,53,7482,0.348145735424131,0.012237680889674748,0.5974594016099762,0.008933972360523009
Colusa,6,2019,60644532,5527096,66171628,40795,661581,136395,301372,1140143,30656157,3980443,26007932,0.04383827979863989,0.0015685599301013245,06011,"Colusa County, California",21454,12738,273,143,256,394,38,36,7576,0.35312762188869207,0.011932506758646407,0.5937354339517107,0.014496131257574344
