county_name,entity_id,year,revenues_govfunds,revenues_propfunds,expenditures_gov,expenditures_prop,total_revenues,total_expenditures,vehicle_fines,other_court_fines,forfeitures,delinquent_taxes,total_fines,state_intergov,fed_intergov,ownsource_rev,fines_share,vehicle_fines_share,library,edu,police,corrections,fire,GEOID,NAME,total_pop,his,nha,nhaian,nhb,nhmixed,nhnh,nhsor,nhw,pnhw,pnhb,phis,papi,fines_share_tot_rev,fines_per_cap,vehicle_fines_share_tot_rev,vehicle_fines_per_cap,police_share,corrections_share,fire_share,library_share,edu_share,police_per_1000,edu_per_1000
Alameda,1,2021,3962049373,289360483,4493129705,295727958,4251409856,4788857663,2670708,918626,23083698,17427582,44100614,1170122461,779056841,2012870071,0.021909319749630278,0.0013268158926289684,36483055,36850574,993478952,385836302,141789305,06001,"Alameda County, California",1673133,374542,524980,5248,166017,81275,12699,8642,499730,0.298679184499977,0.09922522596828824,0.22385668084963956,0.3213605852015351,0.010373173957284066,26.358104227219236,6.281934912087667e-4,1.5962317400947803,0.20745635429423703,0.08056959073581887,0.02960816858172717,0.007618321020872656,0.007695065628013425,593783.6095516614,22024.892223152612
Alameda,1,2020,3463034126,289870816,3283119418,271241159,3752904942,3554360577,3150365,1178323,12521297,15284160,32134145,1065654894,498892799,1898486433,0.016926191539447254,0.0016594087506971403,33593488,33933228,190455027,351570182,134820806,06001,"Alameda County, California",1661584,369546,515105,4942,167316,76404,12924,6764,508583,0.3060832314225462,0.10069668460938477,0.22240584887673448,0.31778652177681055,0.008562472403810754,19.339464631339734,8.394470546651006e-4,1.89600104478618,0.05358348509501826,0.09891235691589205,0.03793109986432308,0.009451344980973775,0.009546928980582152,114622.56918699265,20422.216391106318
Alameda,1,2019,3333075003,276921503,3052461654,286547252,3609996506,3339008906,3789527,1421552,10394481,15751553,31357113,1071719342,442527824,1818827837,0.017240286497770377,0.0020834995610417412,30071131,30409802,173093190,344120631,132561603,06001,"Alameda County, California",1656754,371019,496006,5210,171168,74220,13277,5407,520447,0.314136558595905,0.10331527794711828,0.22394332532168323,0.30739808082551784,0.008686189293502879,18.92683705607471,0.0010497314869146303,2.2873202660141456,0.05183969101997957,0.10306071073414501,0.039700883325526536,0.009006005029206112,0.009107433629588529,104477.30320856326,18355.0496935574
Alameda,1,2018,2796406914,261401114,2684465939,252543191,3057808028,2937009130,3856469,1425338,17557806,14949932,37789545,925186730,458565287,1412654897,0.026750726649694967,0.0027299441697967654,29317827,29635884,138201018,317696488,,06001,"Alameda County, California",1643700,369061,483067,5288,172329,72395,13192,4977,523391,0.3184224615197421,0.10484212447526921,0.22453063211048244,0.3019157997201436,0.012358377195025142,22.990536594269027,0.0012611874142152654,2.346212204173511,0.0470550181776248,0.10817007164019268,,0.009982204924231883,0.010090497743873203,84079.22248585509,18029.983573644826
Alameda,1,2017,2692683202,248724553,2588588500,246264378,2941407755,2834852878,4154368,1482516,13760538,15127802,34525224,972480792,446021362,1274181048,0.02709601124125337,0.003260422062093016,28452345,28751298,131273889,294712000,,06001,"Alameda County, California",1629615,367041,468356,5008,175063,71777,13000,4489,524881,0.32208895966225154,0.10742598711965709,0.22523172651209028,0.29538019716313363,0.011737653149690564,21.186123102696037,0.0014123740555651047,2.549294158436195,0.046307125854310384,0.10396024509318469,,0.010036621378416379,0.010142077644708022,80555.15505196013,17643.000340571238
Alameda,1,2016,,,,,2638195535,2466628582,4510751,1465281,22431827,52682015,81089874,908941714,422627755,,,,28657700,29602208,149938997,278899538,0,06001,"Alameda County, California",1605217,362070,449676,4959,176819,70149,13223,4524,523797,0.32630915321729087,0.11015270832541645,0.2255582890039166,0.2883716033408567,0.03073687030555906,50.51645603055537,0.0017097864582656874,2.810056833437473,0.06078701840000004,0.11306912602701691,0,0.011618165867827442,0.012001080428573417,93407.30692485813,18441.249999221287
Alameda,1,2015,,,,,2459908014,2462509900,5509782,1508912,32197341,11352534,50568569,790627260,412369572,,,,25849992,26755790,137149087,264217670,0,06001,"Alameda County, California",1584983,358168,436207,4851,179400,66229,13243,4178,522707,0.3297871333635755,0.11318733387045792,0.22597592529383595,0.2835677101899516,0.020557097546819083,31.90480213352446,0.002239832533835552,3.4762404391719026,0.05569483680045307,0.10729608437310242,0,0.010497416477391623,0.010865251749850834,86530.3205144787,16880.80566163801
Alameda,1,2014,,,,,2448572609,2405508090,4498880,2448402,19212519,11166323,37326124,828235015,435211753,,,,25297393,26183940,131875980,248368367,0,06001,"Alameda County, California",1559308,352500,421451,4688,179984,64421,12502,4387,519375,0.3330804433761643,0.11542556056917556,0.22606181716505014,0.278298450338227,0.01524403395790825,23.937621047285077,0.0018373480057172363,2.8851772709432644,0.054822505294505164,0.10324985728898546,0,0.010516444781526385,0.010884993531657589,84573.40050843067,16792.02569344863
Alameda,1,2013,,,,,2366341383,2295382137,5106258,1905614,9282881,11030829,27325582,809732716,478600282,,,,25233800,26136855,127499852,228374697,0,06001,"Alameda County, California",1535248,345847,408556,4484,181315,60653,12230,4399,517764,0.33725104999322586,0.11810144028847457,0.22527109626588018,0.2740834054172355,0.01154760771049745,17.798806446906298,0.0021578703887291145,3.32601508029973,0.055546242146259237,0.0994931054480015,0,0.010993289349624315,0.011386711858862916,83048.37524621429,17024.51656019093
Alameda,1,2012,,,,,2317607829,2221267982,4409751,2567162,13252705,11124174,31353792,743018933,454966603,,,,22598210,23304010,118340656,225671956,0,06001,"Alameda County, California",1515136,339441,397475,4318,181711,57750,12442,5419,516580,0.3409462912900228,0.11993048808819802,0.224033354101546,0.2705479904114218,0.013528514879727739,20.693714623637746,0.0019027166480977571,2.910465463166343,0.053276172419974135,0.1015960063480535,0,0.01017356311040547,0.010491309553301796,78105.63276167947,15380.804099433979
